date,ppm
1/1/1959,316.1487154
1/1/1960,316.8636345
1/1/1961,317.5565646
1/1/1962,318.23801
1/1/1963,318.9233267
1/1/1964,319.6351496
1/1/1965,320.3249749
1/1/1966,321.2520273
1/1/1967,322.1829509
1/1/1968,323.3110013
1/1/1969,324.4181945
1/1/1970,325.5158801
1/1/1971,326.6174368
1/1/1972,327.793716
1/1/1973,328.9492701
1/1/1974,330.0926856
1/1/1975,331.2399723
1/1/1976,332.5219779
1/1/1977,333.7835481
1/1/1978,335.3404882
1/1/1979,336.9012996
1/1/1980,338.4886173
1/1/1981,340.0563361
1/1/1982,341.6132764
1/1/1983,343.174088
1/1/1984,344.7614058
1/1/1985,346.3291248
1/1/1986,347.8860652
1/1/1987,349.6207769
1/1/1988,351.3819949
1/1/1989,352.892864
1/1/1990,354.3931099
1/1/1991,355.5095195
1/1/1992,356.6524354
1/1/1993,357.7859974
1/1/1994,358.9099669
1/1/1995,360.748897
1/1/1996,362.6143334
1/1/1997,364.4609329
1/1/1998,366.2959918
1/1/1999,368.1125695
1/1/2000,369.9556536
1/1/2001,371.7822574
1/1/2002,373.5973752
1/1/2003,375.681971
1/1/2004,377.793073
1/1/2005,379.8860111
1/1/2006,381.9667355
1/1/2007,383.5462294
1/1/2008,385.1522297
1/1/2009,387.5355559
1/1/2010,389.905875
1/1/2011,392.2800654
1/1/2012,394.6807621
1/1/2013,397.0640883
1/1/2014,399.4344074
1/1/2015,401.8085978
1/1/2016,404.2092945
1/1/2017,406.5926207
1/1/2018,408.9629398
1/1/2019,411.3371302
1/1/2020,413.7378269
1/1/2021,416.1211531
12/31/2021,418.7083891
12/31/2022,421.3224846
12/31/2023,424.0514477
12/31/2024,425.7160293
12/31/2025,428.2369215
12/31/2026,430.851017
12/31/2027,433.5799801
12/31/2028,435.2445617
12/31/2029,437.7654539
12/31/2030,440.3795494
12/31/2031,443.1085125
12/31/2032,444.7730941
12/31/2033,447.2939863
12/31/2034,449.9080818
12/31/2035,452.6370449
12/31/2036,454.3016265
12/31/2037,456.8225187
12/31/2038,459.4366142
12/31/2039,462.1655773
12/31/2040,463.8301589
12/31/2041,466.3510511
12/31/2042,468.9651466
12/31/2043,471.6941097
12/31/2044,473.3586913
12/31/2045,475.8795835
12/31/2046,478.493679
12/31/2047,481.2226421
12/31/2048,482.8872237
12/31/2049,485.4081159
12/31/2050,488.0222114
12/31/2051,490.7511745
12/31/2052,492.4157561
12/31/2053,494.9366483
12/31/2054,497.5507438
12/31/2055,500.2797069
12/31/2056,501.9442885
12/31/2057,504.4651807
12/31/2058,507.0792763
12/31/2059,509.8082393
12/31/2060,511.4728209
12/31/2061,513.9937131
12/31/2062,516.6078087
12/31/2063,519.3367717
12/31/2064,521.0013533
12/31/2065,523.5222455
12/31/2066,526.1363411
12/31/2067,528.8653041
12/31/2068,530.5298857
12/31/2069,533.0507779
12/31/2070,535.6648735
12/31/2071,538.3938365
12/31/2072,540.0584181
12/31/2073,542.5793103
12/31/2074,545.1934059
12/31/2075,547.9223689
12/31/2076,549.5869505
12/31/2077,552.1078427
12/31/2078,554.7219383
12/31/2079,557.4509013
12/31/2080,559.1154829
12/31/2081,561.6363751
12/31/2082,564.2504707
12/31/2083,566.9794337
12/31/2084,568.6440153
12/31/2085,571.1649075
12/31/2086,573.7790031
12/31/2087,576.5079661
12/31/2088,578.1725477
12/31/2089,580.6934399
12/31/2090,583.3075355
12/31/2091,586.0364985
12/31/2092,587.7010801
12/31/2093,590.2219723
12/31/2094,592.8360679
12/31/2095,595.5650309
12/31/2096,597.2296125
12/31/2097,599.7505047
12/31/2098,602.3646003
12/31/2099,605.0935633
12/31/2100,607.9586928
12/31/2101,610.9808743
12/31/2102,614.1805334
12/31/2103,617.5775898
12/31/2104,617.4872252
12/31/2105,620.5094067
12/31/2106,623.7090658
12/31/2107,627.1061222
12/31/2108,627.0157576
12/31/2109,630.0379391
12/31/2110,633.2375982
12/31/2111,636.6346546
12/31/2112,636.54429
12/31/2113,639.5664715
12/31/2114,642.7661306
12/31/2115,646.163187
12/31/2116,646.0728224
12/31/2117,649.0950039
12/31/2118,652.294663
12/31/2119,655.6917194
12/31/2120,655.6013548
12/31/2121,658.6235363
12/31/2122,661.8231954
12/31/2123,665.2202518
12/31/2124,665.1298872
12/31/2125,668.1520687
12/31/2126,671.3517278
12/31/2127,674.7487842
12/31/2128,674.6584196
12/31/2129,677.6806011
12/31/2130,680.8802602
12/31/2131,684.2773166
12/31/2132,684.186952
12/31/2133,687.2091335
